Family,Genome,Protein,Genus,Species,Classifier
GH12,GCA_003615115.1,RKK86234.1,Fusarium,oxysporum,dbCAN
GH106,GCA_900096695.1,SCO78667.1,Fusarium,oxysporum,dbCAN
GT22,GCA_900074905.1,CZT13402.1,Rhynchosporium,agropyri,dbCAN
GH16,GCA_000509505.1,ETM03655.1,Phytophthora,parasitica,dbCAN
CBM48,GCA_004346965.1,QBZ61043.1,Magnaporthe,oryzae,CAZy
GH25,GCA_002838845.1,PKK50788.1,Trichoderma,harzianum,dbCAN
GH95,GCA_002894145.1,PNP59029.1,Trichoderma,harzianum,dbCAN
GH16,GCA_012656115.1,KAF4291186.1,Aspergillus,fumigatus,dbCAN
CBM43,GCA_900248155.1,SPB48516.1,Aspergillus,niger,dbCAN
AA3,GCF_000002855.3,XP_001389862.2,Aspergillus,niger,dbCAN
CBM18,GCA_000599445.1,EYB33235.1,Fusarium,graminearum,dbCAN
GH71,GCA_000988865.1,KKO98433.1,Trichoderma,harzianum,dbCAN
GH13,GCA_012295175.1,KAF4042141.1,Phytophthora,infestans,dbCAN
CBM43,GCA_004346965.1,QBZ57663.1,Magnaporthe,oryzae,dbCAN
AA1,GCA_003615115.1,RKK79818.1,Fusarium,oxysporum,dbCAN
GT2,GCA_004346965.1,QBZ58987.1,Magnaporthe,oryzae,dbCAN
GH31,GCA_000509465.1,ETK85816.1,Phytophthora,parasitica,dbCAN
GH29,GCA_003615215.1,RKL51163.1,Fusarium,proliferatum,dbCAN
CBM20,GCA_900074885.1,CZT11228.1,Rhynchosporium,commune,dbCAN
GT8,GCA_012295175.1,KAF4041951.1,Phytophthora,infestans,dbCAN
AA11,GCA_004346965.1,QBZ59176.1,Magnaporthe,oryzae,dbCAN
GT1,GCA_003615185.1,RKL43623.1,Fusarium,oxysporum,dbCAN
AA9,GCA_003615215.1,RKL33232.1,Fusarium,proliferatum,dbCAN
GH28,GCA_001078535.1,CCI41896.1,Albugo,candida,dbCAN
GT2,GCA_003615155.1,RKL21920.1,Fusarium,oxysporum,dbCAN
CBM32,GCA_900029915.1,CVL09860.1,Fusarium,proliferatum,dbCAN
GT2,GCA_900080155.1,SAM84190.1,Ustilago,bromivora,CAZy
GH125,GCF_004355905.1,XP_030976442.1,Magnaporthe,grisea,dbCAN
GH78,GCA_900074905.1,CZT12311.1,Rhynchosporium,agropyri,dbCAN
GT31,GCA_002894145.1,PNP60269.1,Trichoderma,harzianum,dbCAN
AA3,GCA_000509485.1,ETL32821.1,Phytophthora,parasitica,dbCAN
GT35,GCA_900248155.1,SPB52582.1,Aspergillus,niger,dbCAN
GH45,GCF_003025115.1,XP_024746496.1,Trichoderma,citrinoviride,dbCAN
GH18,GCA_012656165.1,KAF4275433.1,Aspergillus,fumigatus,dbCAN
GH114,GCA_002234985.1,OXN02412.1,Aspergillus,fumigatus,dbCAN
CE5,GCF_000002855.3,XP_001399211.1,Aspergillus,niger,dbCAN
GH3,GCA_003615185.1,RKL25295.1,Fusarium,oxysporum,dbCAN
GH78,GCA_003615185.1,RKL50053.1,Fusarium,oxysporum,dbCAN
GH18,GCA_003615165.1,RKL04400.1,Fusarium,oxysporum,dbCAN
GH0,GCA_003615215.1,RKL45980.1,Fusarium,proliferatum,dbCAN
AA9,GCA_003615155.1,RKL19165.1,Fusarium,oxysporum,dbCAN
GH5,GCA_002894145.1,PNP49670.1,Trichoderma,harzianum,dbCAN
GH16,GCA_003615215.1,RKL30800.1,Fusarium,proliferatum,dbCAN
GH28,GCA_002894145.1,PNP51023.1,Trichoderma,harzianum,dbCAN
AA1,GCF_003025115.1,XP_024746022.1,Trichoderma,citrinoviride,dbCAN
GT2,GCA_900074885.1,CZT00776.1,Rhynchosporium,commune,dbCAN
GH28,GCA_000509505.1,ETL86237.1,Phytophthora,parasitica,dbCAN
GH76,GCA_002234955.1,OXN25070.1,Aspergillus,fumigatus,dbCAN
GH32,GCA_012552325.1,KAF4141828.1,Phytophthora,infestans,dbCAN
CBM1,GCA_012656115.1,KAF4292484.1,Aspergillus,fumigatus,dbCAN
GT69,GCA_900096695.1,SCO89754.1,Fusarium,oxysporum,dbCAN
GH13,GCA_003290285.1,RBA17043.1,Fusarium,proliferatum,dbCAN
CBM1,GCA_002838845.1,PKK43360.1,Trichoderma,harzianum,dbCAN
CBM18,GCA_012656125.1,KAF4285142.1,Aspergillus,fumigatus,dbCAN
GT41,GCA_012656185.1,KAF4255659.1,Aspergillus,fumigatus,dbCAN
CBM24,GCA_002894145.1,PNP49222.1,Trichoderma,harzianum,dbCAN
AA3,GCA_003290285.1,RBA12491.1,Fusarium,proliferatum,dbCAN
CE8,GCA_012552325.1,KAF4135952.1,Phytophthora,infestans,dbCAN
PL4,GCA_012552325.1,KAF4145478.1,Phytophthora,infestans,dbCAN
CBM43,GCA_000599445.1,EYB25886.1,Fusarium,graminearum,dbCAN
CBM1,GCA_012656115.1,KAF4292140.1,Aspergillus,fumigatus,dbCAN
CBM1,GCA_002894145.1,PNP57215.1,Trichoderma,harzianum,dbCAN
CE3,GCA_003615115.1,RKK76483.1,Fusarium,oxysporum,dbCAN
CE8,GCA_003615155.1,RKK88655.1,Fusarium,oxysporum,dbCAN
GT50,GCA_003615155.1,RKL12476.1,Fusarium,oxysporum,dbCAN
GH16,GCA_003615215.1,RKL33106.1,Fusarium,proliferatum,dbCAN
GH28,GCA_012656115.1,KAF4290981.1,Aspergillus,fumigatus,dbCAN
GH3,GCA_001078535.1,CCI47125.1,Albugo,candida,dbCAN
CBM18,GCA_004346965.1,QBZ64343.1,Magnaporthe,oryzae,dbCAN
CBM18,GCA_002211485.2,TPR05868.1,Aspergillus,niger,dbCAN
CBM1,GCA_012656125.1,KAF4282732.1,Aspergillus,fumigatus,dbCAN
AA3,GCA_002234955.1,OXN22909.1,Aspergillus,fumigatus,dbCAN
GH15,GCA_012656125.1,KAF4286981.1,Aspergillus,fumigatus,dbCAN
GH13,GCA_900248155.1,SPB47599.1,Aspergillus,niger,dbCAN
GH31,GCA_000509525.1,ETM54097.1,Phytophthora,parasitica,dbCAN
GH55,GCA_002838845.1,PKK54158.1,Trichoderma,harzianum,dbCAN
CBM21,GCA_012656115.1,KAF4294075.1,Aspergillus,fumigatus,dbCAN
GH16,GCA_003615165.1,RKL08909.1,Fusarium,oxysporum,dbCAN
AA5,GCA_900044135.1,CEF87161.1,Fusarium,graminearum,CAZy
CBM13,GCA_000509525.1,ETM50687.1,Phytophthora,parasitica,dbCAN
AA9,GCA_003615185.1,RKL42268.1,Fusarium,oxysporum,dbCAN
GH78,GCA_003615185.1,RKL42989.1,Fusarium,oxysporum,dbCAN
PL3,GCA_000509465.1,ETK92330.1,Phytophthora,parasitica,dbCAN
PL1,GCA_003615155.1,RKL00992.1,Fusarium,oxysporum,dbCAN
GH16,GCA_004346965.1,QBZ62038.1,Magnaporthe,oryzae,dbCAN
GT39,GCA_900096695.1,SCO80312.1,Fusarium,oxysporum,dbCAN
GT69,GCA_002894145.1,PNP56813.1,Trichoderma,harzianum,dbCAN
GH16,GCA_000509485.1,ETL35339.1,Phytophthora,parasitica,dbCAN
GH36,GCA_002234955.1,OXN29980.1,Aspergillus,fumigatus,dbCAN
GH32,GCA_900096695.1,SCO89924.1,Fusarium,oxysporum,dbCAN
GH54,GCA_002211485.2,TPR02999.1,Aspergillus,niger,dbCAN
CE15,GCA_012656115.1,KAF4294517.1,Aspergillus,fumigatus,dbCAN
GH78,GCF_000149755.1,XP_009523711.1,Phytophthora,sojae,dbCAN
GH5,GCA_012656215.1,KAF4271104.1,Aspergillus,fumigatus,dbCAN
CBM1,GCF_000002855.3,XP_001388626.2,Aspergillus,niger,dbCAN
AA7,GCA_003615215.1,RKL31591.1,Fusarium,proliferatum,dbCAN
CE8,GCA_000509485.1,ETL44082.1,Phytophthora,parasitica,dbCAN
CBM43,GCA_000509465.1,ETK86742.1,Phytophthora,parasitica,dbCAN
GH17,GCF_000149755.1,XP_009523214.1,Phytophthora,sojae,dbCAN
AA9,GCA_900029915.1,CVL09942.1,Fusarium,proliferatum,dbCAN
GH6,GCA_004346965.1,QBZ59948.1,Magnaporthe,oryzae,dbCAN
GT34,GCA_900074895.1,CZT41506.1,Rhynchosporium,secalis,dbCAN
GH71,GCF_003025115.1,XP_024745004.1,Trichoderma,citrinoviride,dbCAN
GH18,GCA_004346965.1,QBZ60813.1,Magnaporthe,oryzae,CAZy
GH18,GCA_900044135.1,SCB64187.1,Fusarium,graminearum,dbCAN
CBM48,GCA_003615155.1,RKL14714.1,Fusarium,oxysporum,dbCAN
AA1,GCF_000002855.3,XP_001395646.1,Aspergillus,niger,dbCAN
GH12,GCA_900029915.1,CVL13720.1,Fusarium,proliferatum,dbCAN
GH43,GCA_000599445.1,EYB23982.1,Fusarium,graminearum,dbCAN
GH1,GCA_000509465.1,ETK94364.1,Phytophthora,parasitica,dbCAN
GT17,GCA_002352725.1,PCD31704.1,Fusarium,graminearum,dbCAN
GT24,GCA_002211485.2,TPR08102.1,Aspergillus,niger,dbCAN
GH16,GCA_002838845.1,PKK40970.1,Trichoderma,harzianum,dbCAN
AA0,GCA_002894145.1,PNP55045.1,Trichoderma,harzianum,dbCAN
CBM1,GCA_002352725.1,PCD29734.1,Fusarium,graminearum,dbCAN
CE1,GCA_012656215.1,KAF4264700.1,Aspergillus,fumigatus,dbCAN
GH0,GCA_000509505.1,ETL98152.1,Phytophthora,parasitica,dbCAN
GH10,GCA_003615165.1,RKK66507.1,Fusarium,oxysporum,dbCAN
GH76,GCA_002211485.2,TPR04338.1,Aspergillus,niger,dbCAN
GH64,GCA_000988865.1,KKP06872.1,Trichoderma,harzianum,dbCAN
GH10,GCA_012656215.1,KAF4254595.1,Aspergillus,fumigatus,dbCAN
GT31,GCA_000988865.1,KKP01882.1,Trichoderma,harzianum,dbCAN
GH95,GCA_012656165.1,KAF4274485.1,Aspergillus,fumigatus,dbCAN
AA7,GCA_003615165.1,RKL07045.1,Fusarium,oxysporum,dbCAN
GH3,GCF_000002855.3,XP_001398281.2,Aspergillus,niger,dbCAN
GH3,GCA_900044135.1,CEF87331.1,Fusarium,graminearum,CAZy
GH31,GCA_900074905.1,CZS90746.1,Rhynchosporium,agropyri,dbCAN
GH72,GCA_004346965.1,QBZ57469.1,Magnaporthe,oryzae,dbCAN
CE3,GCA_002352725.1,PCD19169.1,Fusarium,graminearum,dbCAN
GH16,GCA_003290285.1,RBA08649.1,Fusarium,proliferatum,dbCAN
CBM63,GCA_900074905.1,CZS97161.1,Rhynchosporium,agropyri,dbCAN
GH12,GCA_000509505.1,ETL83800.1,Phytophthora,parasitica,dbCAN
GH81,GCF_900000015.1,XP_024576017.1,Plasmopara,halstedii,dbCAN
AA7,GCA_002352725.1,PCD28346.1,Fusarium,graminearum,dbCAN
GH125,GCA_004346965.1,QBZ57723.1,Magnaporthe,oryzae,dbCAN
GH132,GCF_004355905.1,XP_030984435.1,Magnaporthe,grisea,dbCAN
PL1,GCA_003615115.1,RKK75069.1,Fusarium,oxysporum,dbCAN
GH3,GCA_000509525.1,ETM40069.1,Phytophthora,parasitica,dbCAN
GH53,GCA_000599445.1,EYB29028.1,Fusarium,graminearum,dbCAN
GT71,GCA_000509465.1,ETK81563.1,Phytophthora,parasitica,dbCAN
GH18,GCA_003615215.1,RKL34936.1,Fusarium,proliferatum,dbCAN
GT20,GCA_012656125.1,KAF4284193.1,Aspergillus,fumigatus,dbCAN
CBM43,GCA_000509525.1,ETM46564.1,Phytophthora,parasitica,dbCAN
GT1,GCA_900074905.1,CZS94765.1,Rhynchosporium,agropyri,dbCAN
GT20,GCF_000002855.3,XP_001396180.2,Aspergillus,niger,dbCAN
GH62,GCA_000988865.1,KKP03811.1,Trichoderma,harzianum,dbCAN
CBM67,GCA_900096695.1,SCO91514.1,Fusarium,oxysporum,dbCAN
PL4,GCA_000509525.1,ETM34805.1,Phytophthora,parasitica,dbCAN
GH13,GCA_012656215.1,KAF4277467.1,Aspergillus,fumigatus,dbCAN
CBM18,GCA_003615155.1,RKL18035.1,Fusarium,oxysporum,dbCAN
CBM48,GCA_003615215.1,RKL28726.1,Fusarium,proliferatum,dbCAN
GT39,GCA_900096695.1,SCO87240.1,Fusarium,oxysporum,dbCAN
GT15,GCA_000988865.1,KKP01669.1,Trichoderma,harzianum,dbCAN
GT48,GCA_000509485.1,ETL34117.1,Phytophthora,parasitica,dbCAN
GH5,GCA_003615115.1,RKK74637.1,Fusarium,oxysporum,dbCAN
GH13,GCA_012656115.1,KAF4292001.1,Aspergillus,fumigatus,dbCAN
GT57,GCF_900000015.1,XP_024581872.1,Plasmopara,halstedii,dbCAN
AA1,GCA_900044135.1,CEF75801.1,Fusarium,graminearum,CAZy
GH7,GCA_900029915.1,CVK95425.1,Fusarium,proliferatum,dbCAN
GT8,GCA_003615215.1,RKL44271.1,Fusarium,proliferatum,dbCAN
CBM18,GCA_003615115.1,RKK66858.1,Fusarium,oxysporum,dbCAN
GH5,GCA_003615155.1,RKL19239.1,Fusarium,oxysporum,dbCAN
GH162,GCA_012656125.1,KAF4286523.1,Aspergillus,fumigatus,dbCAN
GT66,GCF_003025115.1,XP_024747764.1,Trichoderma,citrinoviride,dbCAN
GH13,GCA_012656115.1,KAF4290573.1,Aspergillus,fumigatus,dbCAN
AA1,GCA_012656185.1,KAF4256613.1,Aspergillus,fumigatus,dbCAN
AA6,GCA_012295175.1,KAF4037642.1,Phytophthora,infestans,dbCAN
CBM13,GCA_000509505.1,ETL97563.1,Phytophthora,parasitica,dbCAN
GH131,GCA_004346965.1,QBZ64201.1,Magnaporthe,oryzae,dbCAN
CE3,GCA_012656215.1,KAF4271035.1,Aspergillus,fumigatus,dbCAN
CBM1,GCA_900074885.1,CZS89566.1,Rhynchosporium,commune,dbCAN
GH13,GCA_000509525.1,ETM49336.1,Phytophthora,parasitica,dbCAN
AA3,GCA_900074885.1,CZS97449.1,Rhynchosporium,commune,dbCAN
GH43,GCA_012656125.1,KAF4279351.1,Aspergillus,fumigatus,dbCAN
GT1,GCA_012552325.1,KAF4129531.1,Phytophthora,infestans,dbCAN
AA9,GCA_900044135.1,CEF76256.1,Fusarium,graminearum,CAZy
GH27,GCA_002894145.1,PNP52661.1,Trichoderma,harzianum,dbCAN
CBM38,GCA_003615155.1,RKK93122.1,Fusarium,oxysporum,dbCAN
GH5,GCA_000509525.1,ETM31959.1,Phytophthora,parasitica,dbCAN
GH125,GCA_003615165.1,RKL11190.1,Fusarium,oxysporum,dbCAN
GH76,GCA_012656165.1,KAF4257227.1,Aspergillus,fumigatus,dbCAN
GH12,GCA_012552325.1,KAF4137527.1,Phytophthora,infestans,dbCAN
GT4,GCA_012656165.1,KAF4259479.1,Aspergillus,fumigatus,dbCAN
AA6,GCA_012295175.1,KAF4037666.1,Phytophthora,infestans,dbCAN
GH125,GCA_000599445.1,EYB25233.1,Fusarium,graminearum,dbCAN
GH3,GCA_002211485.2,TPR07209.1,Aspergillus,niger,dbCAN
GH145,GCA_003615185.1,RKL40424.1,Fusarium,oxysporum,dbCAN
GH43,GCA_900074885.1,CZS89811.1,Rhynchosporium,commune,dbCAN
GH2,GCA_012656185.1,KAF4266179.1,Aspergillus,fumigatus,dbCAN
CBM1,GCA_003290285.1,RBA21367.1,Fusarium,proliferatum,dbCAN
GH3,GCA_002352725.1,PCD21052.1,Fusarium,graminearum,dbCAN
CE4,GCA_003290285.1,RBA14858.1,Fusarium,proliferatum,dbCAN
PL3,GCA_900096695.1,SCO85995.1,Fusarium,oxysporum,dbCAN
AA8,GCA_900029915.1,CVL07508.1,Fusarium,proliferatum,dbCAN
GT1,GCA_003615115.1,RKK68505.1,Fusarium,oxysporum,dbCAN
CBM48,GCF_004355905.1,XP_030978280.1,Magnaporthe,grisea,dbCAN
GH35,GCA_003615115.1,RKK70018.1,Fusarium,oxysporum,dbCAN
GH13,GCA_012656185.1,KAF4262141.1,Aspergillus,fumigatus,dbCAN
GT4,GCA_012656185.1,KAF4252943.1,Aspergillus,fumigatus,dbCAN
GT31,GCA_003290285.1,RBA12887.1,Fusarium,proliferatum,dbCAN
GT2,GCA_012656125.1,KAF4279627.1,Aspergillus,fumigatus,dbCAN
GH3,GCA_003615115.1,RKK68813.1,Fusarium,oxysporum,dbCAN
GH10,GCA_000509505.1,ETM00499.1,Phytophthora,parasitica,dbCAN
GT71,GCA_002352725.1,PCD20756.1,Fusarium,graminearum,dbCAN
GH55,GCA_012656185.1,KAF4267021.1,Aspergillus,fumigatus,dbCAN
GH47,GCA_900044135.1,CEF87541.1,Fusarium,graminearum,dbCAN
GH81,GCA_000509465.1,ETK88904.1,Phytophthora,parasitica,dbCAN
GH81,GCA_900074905.1,CZS95635.1,Rhynchosporium,agropyri,dbCAN
GH18,GCA_900044135.1,CEF88836.1,Fusarium,graminearum,dbCAN
PL1,GCF_000149755.1,XP_009533862.1,Phytophthora,sojae,dbCAN
AA5,GCA_002352725.1,PCD32267.1,Fusarium,graminearum,dbCAN
GT2,GCA_000509505.1,ETL80366.1,Phytophthora,parasitica,dbCAN
GT71,GCA_012295175.1,KAF4034154.1,Phytophthora,infestans,dbCAN
GH35,GCA_012656165.1,KAF4273290.1,Aspergillus,fumigatus,dbCAN
GT2,GCA_012552325.1,KAF4140382.1,Phytophthora,infestans,dbCAN
GT31,GCA_002234955.1,OXN29786.1,Aspergillus,fumigatus,dbCAN
CBM67,GCA_003615155.1,RKL10675.1,Fusarium,oxysporum,dbCAN
GT2,GCA_004346965.1,QBZ59413.1,Magnaporthe,oryzae,dbCAN
GT20,GCA_012656115.1,KAF4291307.1,Aspergillus,fumigatus,dbCAN
GH28,GCA_900044135.1,CEF79745.1,Fusarium,graminearum,CAZy
GT20,GCA_000509465.1,ETK83174.1,Phytophthora,parasitica,dbCAN
GH43,GCA_003615215.1,RKL32787.1,Fusarium,proliferatum,dbCAN
CBM18,GCF_004355905.1,XP_030978972.1,Magnaporthe,grisea,dbCAN
GH13,GCA_002234985.1,OXN05828.1,Aspergillus,fumigatus,dbCAN
GH10,GCA_900074885.1,CZS96162.1,Rhynchosporium,commune,dbCAN
GT71,GCA_000509505.1,ETL84235.1,Phytophthora,parasitica,dbCAN
CE5,GCF_000149755.1,XP_009532055.1,Phytophthora,sojae,dbCAN
PL1,GCF_000149755.1,XP_009524812.1,Phytophthora,sojae,dbCAN
GH114,GCA_900044135.1,CEF75185.1,Fusarium,graminearum,CAZy
GT20,GCA_002234955.1,OXN29174.1,Aspergillus,fumigatus,dbCAN
GH51,GCA_900080155.1,SAM74796.1,Ustilago,bromivora,CAZy
GH12,GCA_002838845.1,PKK51252.1,Trichoderma,harzianum,dbCAN
GT4,GCA_002211485.2,TPR01660.1,Aspergillus,niger,dbCAN
GH43,GCF_004355905.1,XP_030977169.1,Magnaporthe,grisea,dbCAN
AA11,GCA_003615115.1,RKK85732.1,Fusarium,oxysporum,dbCAN
GH16,GCA_900044135.1,CEF72052.1,Fusarium,graminearum,dbCAN
GT32,GCA_004346965.1,QBZ65877.1,Magnaporthe,oryzae,CAZy
CE4,GCA_002234955.1,OXN28720.1,Aspergillus,fumigatus,dbCAN
GT15,GCA_004346965.1,QBZ55396.1,Magnaporthe,oryzae,dbCAN
GT62,GCA_012656115.1,KAF4289039.1,Aspergillus,fumigatus,dbCAN
AA3,GCA_003615165.1,RKK86427.1,Fusarium,oxysporum,dbCAN
GH47,GCA_012552325.1,KAF4131709.1,Phytophthora,infestans,dbCAN
AA4,GCF_000002855.3,XP_001393455.1,Aspergillus,niger,CAZy
GH78,GCA_003615165.1,RKL03552.1,Fusarium,oxysporum,dbCAN
GT4,GCA_003615155.1,RKL07209.1,Fusarium,oxysporum,dbCAN
GH72,GCF_003025115.1,XP_024751986.1,Trichoderma,citrinoviride,dbCAN
CBM18,GCF_004355905.1,XP_030976926.1,Magnaporthe,grisea,dbCAN
CBM13,GCA_012552325.1,KAF4139850.1,Phytophthora,infestans,dbCAN
GH78,GCA_003615155.1,RKL23071.1,Fusarium,oxysporum,dbCAN
PL1,GCA_900029915.1,CVL10485.1,Fusarium,proliferatum,dbCAN
GH76,GCA_002234955.1,OXN23990.1,Aspergillus,fumigatus,dbCAN
CBM1,GCA_002234985.1,OXN02415.1,Aspergillus,fumigatus,dbCAN
GH64,GCF_004355905.1,XP_030976984.1,Magnaporthe,grisea,dbCAN
GT59,GCA_012656115.1,KAF4288903.1,Aspergillus,fumigatus,dbCAN
AA5,GCA_900080155.1,SAM67814.1,Ustilago,bromivora,dbCAN
GH32,GCA_003615155.1,RKL13791.1,Fusarium,oxysporum,dbCAN
AA3,GCA_000599445.1,EYB32756.1,Fusarium,graminearum,dbCAN
GH36,GCA_012656165.1,KAF4275994.1,Aspergillus,fumigatus,dbCAN
PL1,GCF_004355905.1,XP_030987283.1,Magnaporthe,grisea,dbCAN
GT25,GCA_001515345.1,GAQ45953.1,Aspergillus,niger,dbCAN
GT71,GCF_900000015.1,XP_024583104.1,Plasmopara,halstedii,dbCAN
GH76,GCA_012656165.1,KAF4266908.1,Aspergillus,fumigatus,dbCAN
GT57,GCA_012656165.1,KAF4258122.1,Aspergillus,fumigatus,dbCAN
GH18,GCA_002211485.2,TPR05878.1,Aspergillus,niger,dbCAN
GH13,GCA_002352725.1,PCD27788.1,Fusarium,graminearum,dbCAN
GT2,GCA_900248155.1,SPB49343.1,Aspergillus,niger,dbCAN
AA3,GCA_000988865.1,KKP00902.1,Trichoderma,harzianum,dbCAN
GH31,GCA_003615155.1,RKK93874.1,Fusarium,oxysporum,dbCAN
CE4,GCA_002352725.1,PCD31743.1,Fusarium,graminearum,dbCAN
GH72,GCA_012656115.1,KAF4289364.1,Aspergillus,fumigatus,dbCAN
GH72,GCA_012656125.1,KAF4276676.1,Aspergillus,fumigatus,dbCAN
CBM38,GCA_003615215.1,RKL45794.1,Fusarium,proliferatum,dbCAN
GH115,GCA_900044135.1,CEF78780.1,Fusarium,graminearum,dbCAN
GH16,GCA_000599445.1,EYB30141.1,Fusarium,graminearum,dbCAN
GH76,GCA_900074895.1,CZT43220.1,Rhynchosporium,secalis,dbCAN
CBM43,GCA_900074905.1,CZS99180.1,Rhynchosporium,agropyri,dbCAN
PL26,GCA_004346965.1,QBZ63346.1,Magnaporthe,oryzae,dbCAN
GH65,GCA_003615215.1,RKL32556.1,Fusarium,proliferatum,dbCAN
GH37,GCA_900096695.1,SCO88140.1,Fusarium,oxysporum,dbCAN
GH5,GCA_002234985.1,OXN03303.1,Aspergillus,fumigatus,dbCAN
AA8,GCA_003290285.1,RBA17505.1,Fusarium,proliferatum,dbCAN
GH3,GCA_900029915.1,CVL06443.1,Fusarium,proliferatum,dbCAN
GT22,GCA_000509485.1,ETL47817.1,Phytophthora,parasitica,dbCAN
GH43,GCA_003615165.1,RKK96763.1,Fusarium,oxysporum,dbCAN
GH43,GCA_003615115.1,RKK70457.1,Fusarium,oxysporum,dbCAN
GH3,GCF_000149755.1,XP_009515209.1,Phytophthora,sojae,dbCAN
GH53,GCA_900044135.1,CEF88655.1,Fusarium,graminearum,dbCAN
GH5,GCA_003615185.1,RKL26795.1,Fusarium,oxysporum,dbCAN
GT48,GCA_012552325.1,KAF4137333.1,Phytophthora,infestans,dbCAN
GH16,GCA_900074885.1,CZS94374.1,Rhynchosporium,commune,dbCAN
GH115,GCA_002894145.1,PNP60136.1,Trichoderma,harzianum,dbCAN
GH18,GCA_000988865.1,KKP02981.1,Trichoderma,harzianum,dbCAN
GH5,GCA_001515345.1,GAQ46594.1,Aspergillus,niger,dbCAN
AA3,GCA_004346965.1,QBZ58631.1,Magnaporthe,oryzae,dbCAN
CBM35,GCA_012656165.1,KAF4259610.1,Aspergillus,fumigatus,dbCAN
GH43,GCA_003615155.1,RKL12246.1,Fusarium,oxysporum,dbCAN
CE5,GCA_900044135.1,CEF75000.1,Fusarium,graminearum,dbCAN
GT34,GCA_900074885.1,CZT12057.1,Rhynchosporium,commune,dbCAN
GH43,GCA_000599445.1,EYB31525.1,Fusarium,graminearum,dbCAN
GT2,GCA_002211485.2,TPR06691.1,Aspergillus,niger,dbCAN
GH1,GCF_000149755.1,XP_009525794.1,Phytophthora,sojae,dbCAN
GH12,GCA_900096695.1,SCO91318.1,Fusarium,oxysporum,dbCAN
GH53,GCA_000509465.1,ETK95039.1,Phytophthora,parasitica,dbCAN
PL1,GCA_900029915.1,CVK85385.1,Fusarium,proliferatum,dbCAN
GH13,GCA_012656115.1,KAF4289602.1,Aspergillus,fumigatus,dbCAN
GH10,GCA_900074905.1,CZS97499.1,Rhynchosporium,agropyri,dbCAN
GT1,GCA_000599445.1,EYB33639.1,Fusarium,graminearum,dbCAN
AA3,GCA_003290285.1,RBA17529.1,Fusarium,proliferatum,dbCAN
AA2,GCA_003615185.1,RKL29528.1,Fusarium,oxysporum,dbCAN
GT71,GCA_000509465.1,ETK95114.1,Phytophthora,parasitica,dbCAN
GT71,GCA_000509505.1,ETL98844.1,Phytophthora,parasitica,dbCAN
CBM18,GCA_900044135.1,CEF86291.1,Fusarium,graminearum,dbCAN
GH81,GCA_000509485.1,ETL42234.1,Phytophthora,parasitica,dbCAN
GH43,GCA_900029915.1,CVK91834.1,Fusarium,proliferatum,dbCAN
AA1,GCA_900074905.1,CZT03562.1,Rhynchosporium,agropyri,dbCAN
CE8,GCA_003290285.1,RBA21988.1,Fusarium,proliferatum,dbCAN
GT90,GCA_002838845.1,PKK46403.1,Trichoderma,harzianum,dbCAN
GH16,GCA_900044135.1,CEF74985.1,Fusarium,graminearum,dbCAN
GH95,GCA_003615185.1,RKL27051.1,Fusarium,oxysporum,dbCAN
GH28,GCA_003615155.1,RKK96454.1,Fusarium,oxysporum,dbCAN
AA3,GCA_900074905.1,CZT01408.1,Rhynchosporium,agropyri,dbCAN
GH16,GCA_002352725.1,PCD27676.1,Fusarium,graminearum,dbCAN
GT22,GCA_004346965.1,QBZ59294.1,Magnaporthe,oryzae,dbCAN
GH145,GCA_900029915.1,CVL01428.1,Fusarium,proliferatum,dbCAN
PL1,GCA_000599445.1,EYB22861.1,Fusarium,graminearum,dbCAN
GH29,GCA_004346965.1,QBZ54099.1,Magnaporthe,oryzae,dbCAN
GH133,GCA_000599445.1,EYB29760.1,Fusarium,graminearum,dbCAN
GH3,GCA_000509525.1,ETM43047.1,Phytophthora,parasitica,dbCAN
GT71,GCA_000509485.1,ETL48514.1,Phytophthora,parasitica,dbCAN
GH47,GCA_012552325.1,KAF4127309.1,Phytophthora,infestans,dbCAN
GH3,GCA_000509465.1,ETK82778.1,Phytophthora,parasitica,dbCAN
GH47,GCA_002894145.1,PNP49146.1,Trichoderma,harzianum,dbCAN
GH28,GCA_012295175.1,KAF4041683.1,Phytophthora,infestans,dbCAN
GT8,GCA_900044135.1,SCB64319.1,Fusarium,graminearum,CAZy
GT90,GCA_004346965.1,QBZ61568.1,Magnaporthe,oryzae,dbCAN
GH0,GCA_900074905.1,CZS90454.1,Rhynchosporium,agropyri,dbCAN
AA5,GCA_003615215.1,RKL50689.1,Fusarium,proliferatum,dbCAN
GH76,GCA_003290285.1,RBA22124.1,Fusarium,proliferatum,dbCAN
AA9,GCA_003615115.1,RKK72034.1,Fusarium,oxysporum,dbCAN
GH16,GCA_003615155.1,RKK97282.1,Fusarium,oxysporum,dbCAN
GH27,GCA_012656125.1,KAF4282917.1,Aspergillus,fumigatus,dbCAN
AA1,GCA_900044135.1,CEF78328.1,Fusarium,graminearum,CAZy
GH31,GCA_000509485.1,ETL43584.1,Phytophthora,parasitica,dbCAN
AA3,GCA_900044135.1,CEF84725.1,Fusarium,graminearum,CAZy
CBM1,GCA_900074905.1,CZT08123.1,Rhynchosporium,agropyri,dbCAN
GH43,GCA_003615115.1,RKK80969.1,Fusarium,oxysporum,dbCAN
